WAKEUP  11:10am
Eat light breakfast, shower, etc.   30 minutes
Went to Starbucks at the top of Mulholland where we ate breakfast and whatnot.  30 minutes
Afterwards, we drove to Giacomo's office building and did a quick tour. 40 minutes
We walked a short distance to Century City mall.    10 minutes
They all went in to the Lego store while I explored the mall a bit. 30 minutes
Following this excursion, we went to Zankou Chicken. The first one was closed due to a power outage so we took a trip down the 405 to another location. 20 minutes
Then, we ate and met up with our friend Evan whom I hadn't seen in a long time. It was great to see him.    45 minutes
Following our nice Mediterranean lunch, we went to the Getty Museum. We spent awhile walking around the green grounds, admiring the gardens and the view of the city. The art inside was predominantly modern and contemporary art. It gave us a chance to talk and expore something new. We made jokes and walked some more before heading out to admire the sunset.   2 hours
All of us went back to Giacomo's house (he's hosting us this weekend) and I got to work.    45 minutes
Giacomo, Evan, and I relaxed for a bit (~ 45 minutes) before Cameron and Nolan came back. Evan left around 9:30pm.  45 minutes
The rest of us went out to grab Pizza and tried to play pool afterwards but the queue was too long. 1 hour
We ended up just hanging out at the house, playing ping pong and foosball for a few hours. It was a lot of fun. 3 hours
We talked for awhile then went to bed.  30 minutes
BED 2:00am
